Data,Mês Anterior,Último dia útil da primeira quinzena do mês anterior,Cotação USD Compra,Cotação USD Venda,Data Cotação
01/2017,12/2016,15/12/2016,"3,3824","3,383",15/12/2016
02/2017,01/2017,13/01/2017,"3,2028","3,2034",13/01/2017
03/2017,02/2017,15/02/2017,"3,0773","3,0779",15/02/2017
04/2017,03/2017,15/03/2017,"3,1623","3,1629",15/03/2017
05/2017,04/2017,13/04/2017,"3,1263","3,1269",13/04/2017
06/2017,05/2017,15/05/2017,"3,1005","3,1011",15/05/2017
07/2017,06/2017,14/06/2017,"3,283","3,2836",14/06/2017
08/2017,07/2017,14/07/2017,"3,1893","3,1899",14/07/2017
09/2017,08/2017,15/08/2017,"3,197","3,1976",15/08/2017
10/2017,09/2017,15/09/2017,"3,1249","3,1255",15/09/2017
11/2017,10/2017,13/10/2017,"3,1567","3,1572",13/10/2017
12/2017,11/2017,14/11/2017,"3,2828","3,2834",14/11/2017
01/2018,12/2017,15/12/2017,"3,3176","3,3182",15/12/2017
02/2018,01/2018,15/01/2018,"3,1957","3,1963",15/01/2018
03/2018,02/2018,15/02/2018,"3,2202","3,2208",15/02/2018
04/2018,03/2018,15/03/2018,"3,2853","3,2859",15/03/2018
05/2018,04/2018,13/04/2018,"3,4099","3,4105",13/04/2018
06/2018,05/2018,15/05/2018,"3,6747","3,6753",15/05/2018
07/2018,06/2018,15/06/2018,"3,7732","3,7738",15/06/2018
08/2018,07/2018,13/07/2018,"3,8739","3,8745",13/07/2018
09/2018,08/2018,15/08/2018,"3,9128","3,9134",15/08/2018
10/2018,09/2018,14/09/2018,"4,1873","4,1879",14/09/2018
11/2018,10/2018,15/10/2018,"3,7326","3,7332",15/10/2018
12/2018,11/2018,14/11/2018,"3,7918","3,7924",14/11/2018
01/2019,12/2018,14/12/2018,"3,9084","3,909",14/12/2018
02/2019,01/2019,15/01/2019,"3,7043","3,7049",15/01/2019
03/2019,02/2019,15/02/2019,"3,7149","3,7155",15/02/2019
04/2019,03/2019,15/03/2019,"3,8338","3,8344",15/03/2019
05/2019,04/2019,15/04/2019,"3,8724","3,873",15/04/2019
06/2019,05/2019,15/05/2019,"4,0025","4,0031",15/05/2019
07/2019,06/2019,14/06/2019,"3,8807","3,8813",14/06/2019
08/2019,07/2019,15/07/2019,"3,7457","3,7463",15/07/2019
09/2019,08/2019,15/08/2019,"4,0182","4,0188",15/08/2019
10/2019,09/2019,13/09/2019,"4,061","4,0616",13/09/2019
11/2019,10/2019,15/10/2019,"4,1482","4,1488",15/10/2019
12/2019,11/2019,14/11/2019,"4,1825","4,1831",14/11/2019
01/2020,12/2019,13/12/2019,"4,0943","4,0949",13/12/2019
02/2020,01/2020,15/01/2020,"4,1616","4,1622",15/01/2020
03/2020,02/2020,14/02/2020,"4,3157","4,3163",14/02/2020
